County,D0,D1,OTHER0,R0,R1
adams,1496,1540,0,0,4588
allen,7603,7291,0,0,19660
ashland,0,3476,0,0,11905
ashtabula,10305,10632,1284,0,14575
athens,8647,7761,41,0,5478
auglaize,2619,2435,0,0,10975
belmont,9019,8664,536,0,9712
brown,2992,3164,0,0,8460
butler,25172,23066,4883,0,56893
carroll,2617,2372,302,0,4765
champaign,3066,2720,0,0,8472
clark,13360,13163,1892,0,23140
clermont,11238,10798,0,0,39277
clinton,2014,1931,0,0,7635
columbiana,9552,9122,910,0,16738
coshocton,0,2847,0,0,7122
crawford,3453,3142,0,0,8193
cuyahoga,44228,347214,1025,50385,72001
darke,2748,2572,766,0,11122
defiance,3062,3136,514,0,7337
delaware,12862,13761,1935,0,43892
erie,1419,21536,0,7553,2252
fairfield,12611,11421,0,0,27923
fayette,1329,1384,192,0,4654
franklin,50728,224413,3574,51475,92244
fulton,2735,2841,483,0,7654
gallia,2267,2122,199,0,4916
geauga,7282,8357,1208,0,22203
greene,11846,12795,1822,0,35262
guernsey,4242,3345,304,0,5704
hamilton,99120,94507,0,0,137856
hancock,4067,4056,811,0,14854
hardin,1622,1628,310,0,4568
harrison,1936,1773,193,0,2484
henry,1732,1857,282,0,5912
highland,2195,2320,0,0,13934
hocking,2865,2616,0,0,4636
holmes,0,1088,0,0,5691
huron,2871,4217,0,0,9548
jackson,2314,2233,215,0,4466
jefferson,8283,8358,572,0,10296
knox,0,4139,0,0,13549
lake,21174,23556,2521,0,43241
lawrence,5176,5023,442,0,8732
licking,12143,13329,1852,0,33095
logan,2776,2374,0,0,10052
lorain,15016,47601,0,8882,30098
lucas,21896,88225,2709,9873,34746
madison,2459,2438,0,0,7717
mahoning,6304,72641,590,12107,10655
marion,4928,4654,116,0,10591
medina,10969,14706,0,0,32968
meigs,1873,1670,219,0,3607
mercer,2090,2207,467,0,9661
miami,6937,6177,1718,0,22336
monroe,2723,2485,212,0,2130
montgomery,50289,55355,4591,0,91973
morgan,1197,1246,0,0,2664
morrow,2105,2371,458,0,7129
muskingum,5909,6466,725,0,13976
noble,1641,1285,128,0,2109
ottawa,2369,10057,338,3601,4235
paulding,1775,1728,333,0,3635
perry,3014,3104,0,0,5913
pickaway,3494,3417,0,0,9858
pike,2701,2961,0,0,4241
portage,6850,29413,387,7235,12846
preble,2596,2174,753,0,8232
putnam,1771,2210,334,0,9024
richland,5534,9820,676,0,22795
ross,5616,5882,0,0,10706
sandusky,6144,5483,0,0,9844
scioto,7430,7383,219,0,10483
seneca,4587,4091,0,0,9031
shelby,2713,2412,0,0,11235
stark,11343,39954,0,2382,67923
summit,24201,105555,1226,24518,37434
trumbull,1928,65146,337,15862,3342
tuscarawas,2389,8306,218,0,17122
union,3368,2821,0,0,10492
van wert,1371,1508,315,0,5346
vinton,1185,1174,0,0,2000
warren,14037,12200,0,0,44865
washington,7349,5914,577,0,10662
wayne,7775,7181,0,0,18911
williams,2298,2336,461,0,6990
wood,11477,12132,1967,0,21808
wyandot,1176,1295,265,0,4270
